FECHA,MES,SEMANA,Dia,HORA,EMOCION,SIMPLIFICACION,VALOR
04/01/25,Abril,Martes,1,7:00 a.m.,FELICIDAD,Contenta,1
04/01/25,Abril,Martes,1,9:00 a.m.,FELICIDAD,Alegre,0.5
04/01/25,Abril,Martes,1,11:00 a.m.,FELICIDAD,Emocionada,1
04/01/25,Abril,Martes,1,1:00 p.m.,FELICIDAD,Interesada,0.5
04/01/25,Abril,Martes,1,3:00 p.m.,TRISTEZA,Sensible,-0.25
04/01/25,Abril,Martes,1,5:00 p.m.,TRISTEZA,Somnolienta,0.25
04/01/25,Abril,Martes,1,7:00 p.m.,TRISTEZA,Desanimada,0.75
04/01/25,Abril,Martes,1,9:00 p.m.,ENOJO,Estresada,1
04/01/25,Abril,Martes,1,11:00 p.m.,ENOJO,Agotada,0.75
04/02/25,Abril,Miercoles,2,7:00 a.m.,FELICIDAD,Alegre,0.25
04/02/25,Abril,Miercoles,2,9:00 a.m.,TRANQUILIDAD,Pensativa,0
04/02/25,Abril,Miercoles,2,11:00 a.m.,TRANQUILIDAD,Reflexiva,0.25
04/02/25,Abril,Miercoles,2,1:00 p.m.,TRANQUILIDAD,Calmada,0.5
04/02/25,Abril,Miercoles,2,3:00 p.m.,ENOJO,Agotada,-0.25
04/02/25,Abril,Miercoles,2,5:00 p.m.,TRISTEZA,Desanimada,0.25
04/02/25,Abril,Miercoles,2,7:00 p.m.,ENOJO,Agotada,0.5
04/02/25,Abril,Miercoles,2,9:00 p.m.,ENOJO,Frustrada,1
04/02/25,Abril,Miercoles,2,11:00 p.m.,TRISTEZA,Agobio,0.25
04/03/25,Abril,Jueves,3,7:00 a.m.,TRANQUILIDAD,Pacifica,0
04/03/25,Abril,Jueves,3,9:00 a.m.,FELICIDAD,Optimista,0.25
04/03/25,Abril,Jueves,3,11:00 a.m.,TRANQUILIDAD,Reflexiva,0
04/03/25,Abril,Jueves,3,1:00 p.m.,ENOJO,Agotada,0.5
